node_routing_core
Input Data length: 21736
x: 8.51456y: -18.5711s: 21.2327328
x: 8.54358y: -18.5822s: 21.2638329
x: 8.57357y: -18.5944s: 21.2962330
x: 8.60452y: -18.6055s: 21.3291331
x: 8.63451y: -18.6177s: 21.3614332
x: 8.72254y: -18.6498s: 21.4551333
x: 9.01371y: -18.7485s: 21.7626334
x: 9.04273y: -18.7574s: 21.7929335
x: 9.07175y: -18.7662s: 21.8233336
x: 9.2449y: -18.825s: 22.0061337
x: 9.27295y: -18.835s: 22.0359338
x: 9.50028y: -18.9159s: 22.2772339
x: 9.52833y: -18.9259s: 22.307340
x: 9.55639y: -18.9347s: 22.3364341
x: 9.58444y: -18.9447s: 22.3662342
x: 9.87948y: -19.05s: 22.6794343
x: 9.91043y: -19.0611s: 22.7123344
x: 9.94042y: -19.0733s: 22.7447345
x: 9.97138y: -19.0844s: 22.7776346
x: 10.0033y: -19.0955s: 22.8113347
x: 10.0343y: -19.1066s: 22.8442348
x: 10.0671y: -19.1176s: 22.8789349
x: 10.0991y: -19.1287s: 22.9127350
x: 10.1629y: -19.1509s: 22.9803351
x: 10.2587y: -19.1819s: 23.081352
x: 10.2906y: -19.1919s: 23.1144353
x: 10.3225y: -19.2019s: 23.1479354
x: 10.3544y: -19.213s: 23.1817355
x: 10.6804y: -19.3194s: 23.5246356
x: 10.7133y: -19.3294s: 23.559357
x: 10.7453y: -19.3382s: 23.5921358
x: 10.7781y: -19.3471s: 23.6262359
x: 10.8439y: -19.366s: 23.6946360
x: 10.8768y: -19.3748s: 23.7286361
x: 10.9784y: -19.3981s: 23.8329362
x: 11.078y: -19.4158s: 23.9341363
x: 11.1119y: -19.4214s: 23.9684364
x: 11.1467y: -19.4269s: 24.0036365
x: 11.1815y: -19.4325s: 24.0389366
x: 11.2163y: -19.4369s: 24.074367
x: 11.2512y: -19.4424s: 24.1093368
x: 11.286y: -19.4458s: 24.1442369
x: 11.3208y: -19.4502s: 24.1793370
x: 11.3566y: -19.4524s: 24.2152371
x: 11.8606y: -19.4613s: 24.7193372
x: 11.8993y: -19.4646s: 24.7581373
x: 11.937y: -19.4668s: 24.7959374
x: 12.4903y: -19.5422s: 25.3543375
x: 12.5261y: -19.5466s: 25.3904376
x: 12.5619y: -19.55s: 25.4263377
x: 12.5967y: -19.5533s: 25.4613378
x: 12.8057y: -19.5699s: 25.6709379
x: 12.9469y: -19.5788s: 25.8124380
x: 12.9818y: -19.581s: 25.8473381
x: 13.0156y: -19.5821s: 25.8812382
x: 13.2168y: -19.5899s: 26.0826383
x: 13.3223y: -19.5832s: 26.1882384
x: 13.3571y: -19.5799s: 26.2232385
x: 13.3929y: -19.5766s: 26.2591386
x: 13.4229y: -19.5699s: 26.2899387
x: 13.4519y: -19.5622s: 26.3199388
x: 13.4809y: -19.5544s: 26.3499389
x: 13.5099y: -19.5478s: 26.3797390
x: 13.5389y: -19.54s: 26.4098391
x: 13.714y: -19.4934s: 26.5909392
x: 13.743y: -19.4846s: 26.6213393
x: 13.7759y: -19.4823s: 26.6542394
x: 13.8088y: -19.4801s: 26.6872395
x: 13.8408y: -19.4779s: 26.7192396
x: 13.8736y: -19.4746s: 26.7523397
x: 14.0091y: -19.448s: 26.8903398
x: 14.1126y: -19.4336s: 26.9948399
x: 14.1474y: -19.428s: 27.03400
x: 14.1745y: -19.4192s: 27.0585401
x: 14.3554y: -19.3737s: 27.2451402
x: 14.485y: -19.346s: 27.3776403
x: 14.5169y: -19.3393s: 27.4102404
x: 14.5508y: -19.3327s: 27.4447405
x: 14.6185y: -19.3205s: 27.5135406
x: 14.6852y: -19.3083s: 27.5814407
x: 14.751y: -19.2917s: 27.6492408
x: 14.9087y: -19.2573s: 27.8106409
x: 14.9406y: -19.2507s: 27.8432410
x: 14.9735y: -19.2429s: 27.877411
x: 15.0064y: -19.2363s: 27.9106412
x: 15.0383y: -19.2285s: 27.9434413
x: 15.0731y: -19.2207s: 27.9791414
x: 15.6526y: -19.0545s: 28.5819415
x: 15.6884y: -19.04s: 28.6205416
x: 15.7242y: -19.0256s: 28.6591417
x: 16.0028y: -18.9491s: 28.948418
x: 16.3771y: -18.8837s: 29.328419
x: 16.4323y: -18.8782s: 29.3834420
x: 16.4874y: -18.8727s: 29.4388421
x: 16.6954y: -18.8305s: 29.6511422
x: 16.8337y: -18.8106s: 29.7908423
x: 16.8618y: -18.8073s: 29.8191424
x: 16.8898y: -18.8028s: 29.8475425
x: 17.21y: -18.7862s: 30.1681426
x: 17.2429y: -18.784s: 30.201427
x: 17.2748y: -18.7806s: 30.2331428
x: 17.3058y: -18.7784s: 30.2642429
x: 17.3696y: -18.7729s: 30.3283430
x: 17.4306y: -18.7707s: 30.3892431
x: 17.4925y: -18.7696s: 30.4512432
x: 18.0293y: -18.7418s: 30.9888433
x: 18.0864y: -18.7352s: 31.0462434
x: 18.1435y: -18.7274s: 31.1038435
x: 18.2596y: -18.7119s: 31.2209436
x: 18.3176y: -18.7042s: 31.2795437
x: 19.0731y: -18.6299s: 32.0386438
x: 19.1186y: -18.6232s: 32.0846439
x: 19.164y: -18.6166s: 32.1305440
x: 19.255y: -18.6011s: 32.2228441
x: 19.4833y: -18.5623s: 32.4543442
x: 19.9602y: -18.5091s: 32.9342443
x: 19.994y: -18.5079s: 32.9681444
x: 20.0656y: -18.498s: 33.0403445
x: 20.142y: -18.4802s: 33.1188446
x: 20.3732y: -18.4647s: 33.3505447
x: 20.4071y: -18.4647s: 33.3844448
x: 20.44y: -18.4636s: 33.4173449
x: 20.4796y: -18.4569s: 33.4575450
x: 20.5599y: -18.4459s: 33.5385451
x: 20.5996y: -18.4403s: 33.5786452
x: 20.7031y: -18.4381s: 33.6821453
x: 21.1355y: -18.4037s: 34.1159454
x: 21.1732y: -18.3938s: 34.1549455
x: 21.2119y: -18.3849s: 34.1946456
x: 21.4354y: -18.3317s: 34.4243457
x: 21.7846y: -18.2951s: 34.7754458
x: 21.8223y: -18.2851s: 34.8145459
x: 21.86y: -18.2763s: 34.8532460
x: 21.8968y: -18.2674s: 34.891461
x: 21.9345y: -18.2574s: 34.93462
x: 21.9809y: -18.2541s: 34.9766463
x: 22.0274y: -18.2497s: 35.0232464
x: 22.0748y: -18.2452s: 35.0708465
x: 22.1212y: -18.2419s: 35.1174466
x: 22.3127y: -18.2297s: 35.3093467
x: 22.3466y: -18.2264s: 35.3433468
x: 22.3805y: -18.2242s: 35.3773469
x: 22.4221y: -18.2153s: 35.4198470
x: 22.4636y: -18.2075s: 35.4621471
x: 22.6213y: -18.1743s: 35.6233472
x: 22.7703y: -18.141s: 35.7759473
x: 22.8071y: -18.1321s: 35.8137474
x: 22.8438y: -18.1244s: 35.8513475
x: 22.8873y: -18.1177s: 35.8953476
x: 23.3352y: -18.0435s: 36.3493477
x: 23.3788y: -18.0357s: 36.3935478
x: 23.4194y: -18.0224s: 36.4363479
x: 23.459y: -18.008s: 36.4785480
x: 23.7299y: -17.9526s: 36.7549481
x: 23.8731y: -17.9304s: 36.8998482
x: 23.9205y: -17.9226s: 36.9479483
x: 23.9891y: -17.9104s: 37.0176484
x: 24.1033y: -17.8861s: 37.1343485
x: 24.3712y: -17.8218s: 37.4099486
x: 24.4148y: -17.8107s: 37.4548487
x: 24.4554y: -17.8018s: 37.4964488
x: 24.496y: -17.7918s: 37.5382489
x: 24.5376y: -17.7818s: 37.581490
x: 24.6121y: -17.763s: 37.6578491
x: 24.7118y: -17.7309s: 37.7625492
x: 24.9884y: -17.6643s: 38.0471493
x: 25.0281y: -17.6555s: 38.0877494
x: 25.0677y: -17.6444s: 38.1289495
x: 25.1877y: -17.6134s: 38.2528496
x: 25.2912y: -17.5967s: 38.3576497
x: 25.6423y: -17.5147s: 38.7182498
x: 25.6752y: -17.5047s: 38.7526499
x: 25.7071y: -17.4947s: 38.786500
x: 25.7729y: -17.4748s: 38.8548501
x: 25.8542y: -17.4648s: 38.9366502
x: 25.9354y: -17.457s: 39.0183503
x: 25.9761y: -17.446s: 39.0604504
x: 26.1337y: -17.4105s: 39.222505
x: 26.1695y: -17.4049s: 39.2582506
x: 26.3204y: -17.3739s: 39.4123507
x: 26.6455y: -17.3019s: 39.7452508
x: 26.8418y: -17.2741s: 39.9435509
x: 26.9521y: -17.2675s: 40.054510
x: 27.0227y: -17.2653s: 40.1247511
x: 27.0576y: -17.2642s: 40.1595512
x: 27.0914y: -17.2631s: 40.1934513
x: 27.2065y: -17.2586s: 40.3086514
x: 27.34y: -17.2498s: 40.4424515
x: 27.5461y: -17.2364s: 40.6488516
x: 27.5886y: -17.232s: 40.6916517
x: 27.6302y: -17.2287s: 40.7334518
x: 27.6728y: -17.2254s: 40.776519
x: 27.7299y: -17.2187s: 40.8335520
x: 27.786y: -17.211s: 40.8901521
x: 27.8991y: -17.1954s: 41.0044522
x: 28.0094y: -17.1832s: 41.1153523
x: 28.2271y: -17.1577s: 41.3345524
x: 28.2803y: -17.1511s: 41.3881525
x: 28.3345y: -17.1444s: 41.4427526
x: 28.4747y: -17.1278s: 41.5839527
x: 28.8288y: -17.0735s: 41.9421528
x: 28.8704y: -17.0713s: 41.9838529
x: 29.0609y: -17.058s: 42.1748530
x: 29.1248y: -17.0535s: 42.2388531
x: 29.2428y: -17.0613s: 42.3571532
x: 29.2776y: -17.0613s: 42.3919533
x: 29.3115y: -17.0613s: 42.4257534
x: 29.3463y: -17.0613s: 42.4606535
x: 29.4537y: -17.0624s: 42.5679536
x: 29.5272y: -17.0635s: 42.6415537
x: 29.8928y: -17.0735s: 43.0073538
x: 29.9277y: -17.0746s: 43.0421539
x: 29.9625y: -17.0746s: 43.0769540
x: 29.9973y: -17.0746s: 43.1118541
x: 30.0321y: -17.0757s: 43.1466542
x: 30.1685y: -17.0768s: 43.283543
x: 30.4791y: -17.0801s: 43.5935544
x: 30.5129y: -17.0812s: 43.6274545
x: 30.5458y: -17.0824s: 43.6603546
x: 30.5787y: -17.0835s: 43.6932547
x: 30.748y: -17.0879s: 43.8626548
x: 30.8795y: -17.0923s: 43.9942549
x: 30.9115y: -17.0934s: 44.0261550
x: 30.9434y: -17.0945s: 44.0581551
x: 31.0817y: -17.099s: 44.1965552
x: 31.1572y: -17.1012s: 44.272553
x: 31.2887y: -17.1078s: 44.4037554
x: 31.3255y: -17.1101s: 44.4405555
x: 31.3622y: -17.1112s: 44.4773556
x: 31.399y: -17.1123s: 44.5141557
x: 31.5876y: -17.1211s: 44.7029558
x: 31.7724y: -17.1278s: 44.8878559
x: 31.8111y: -17.1289s: 44.9265560
x: 31.8498y: -17.1311s: 44.9653561
x: 31.8894y: -17.1322s: 45.0049562
x: 32.0684y: -17.1112s: 45.1851563
x: 32.2232y: -17.0957s: 45.3407564
x: 32.2541y: -17.0957s: 45.3716565
x: 32.2841y: -17.0956s: 45.4016566
x: 32.4012y: -17.1045s: 45.519567
x: 32.4602y: -17.1078s: 45.5781568
x: 32.6246y: -17.1167s: 45.7428569
x: 32.6614y: -17.1189s: 45.7796570
x: 32.6972y: -17.1211s: 45.8155571
x: 32.7397y: -17.1156s: 45.8584572
x: 32.7833y: -17.1112s: 45.9022573
x: 32.8684y: -17.1012s: 45.9879574
x: 32.911y: -17.0956s: 46.0308575
x: 32.9951y: -17.0879s: 46.1153576
x: 33.3385y: -17.0546s: 46.4603577
x: 33.384y: -17.0491s: 46.5061578
